CategoryId,Name,Link
2,Курьерская доставка,https://www.avito.ru/saratov/rezume/kurerskaya_dostavka-ASgBAgICAUSUC7ao1gI
2,"Маркетинг, реклама, PR",https://www.avito.ru/saratov/rezume/marketing_reklama_pr-ASgBAgICAUSUC5afAQ
2,"Медицина, фармацевтика",https://www.avito.ru/saratov/rezume/meditsina_farmatsevtika-ASgBAgICAUSUC~6eAQ
2,"Образование, наука",https://www.avito.ru/saratov/rezume/obrazovanie_nauka-ASgBAgICAUSUC_aeAQ
2,"Охрана, безопасность",https://www.avito.ru/saratov/rezume/ohrana_bezopasnost-ASgBAgICAUSUC5ifAQ
2,Продажи,https://www.avito.ru/saratov/rezume/prodazhi-ASgBAgICAUSUC_CeAQ
2,"Производство, сырьё, с/х",https://www.avito.ru/saratov/rezume/proizvodstvo_syryo_sh-ASgBAgICAUSUC6KfAQ
2,Страхование,https://www.avito.ru/saratov/rezume/strahovanie-ASgBAgICAUSUC_KeAQ
2,Строительство,https://www.avito.ru/saratov/rezume/stroitelstvo-ASgBAgICAUSUC_ieAQ
2,Такси,https://www.avito.ru/saratov/rezume/taksi-ASgBAgICAUSUC7So1gI
2,"Транспорт, логистика",https://www.avito.ru/saratov/rezume/transport_logistika-ASgBAgICAUSUC_SeAQ
2,"Туризм, рестораны",https://www.avito.ru/saratov/rezume/turizm_restorany-ASgBAgICAUSUC_qeAQ
2,Юриспруденция,https://www.avito.ru/saratov/rezume/yurisprudentsiya-ASgBAgICAUSUC5yfAQ
2,Управление персоналом,https://www.avito.ru/saratov/rezume/upravlenie_personalom-ASgBAgICAUSUC5qfAQ
2,"Фитнес, салоны красоты",https://www.avito.ru/saratov/rezume/fitnes_salony_krasoty-ASgBAgICAUSUC_yeAQ
3,Автосервисы для автомобилей,https://www.avito.ru/saratov/predlozheniya_uslug/transport_perevozki-ASgBAgICAUSYC8SfAQ?f=ASgBAgICAkSYC8SfAZoL2p8B
3,Автосервисы для грузовиков и спецтехники,https://www.avito.ru/saratov/predlozheniya_uslug/transport_perevozki/avtoservisy_dlya_gruzovikov_i_spectehniki-ASgBAgICAkSYC8SfAZoLwJKRAw
3,Автосервисы для другой техники,https://www.avito.ru/saratov/predlozheniya_uslug/transport_perevozki/avtoservisy_dlya_drugoy_tehniki-ASgBAgICAkSYC8SfAZoLwpKRAw
3,Аренда авто,https://www.avito.ru/saratov/predlozheniya_uslug/transport_perevozki/arenda_avto-ASgBAgICAkSYC8SfAZoL_vcB
3,Аренда спецтехники,https://www.avito.ru/saratov/predlozheniya_uslug/transport_perevozki/arenda_spetstekhniki-ASgBAgICAkSYC8SfAZoL3J8B
3,По городу,https://www.avito.ru/saratov/predlozheniya_uslug/gruzoperevozki/po_gorodu-ASgBAgICAkSYC76IjgPc5RPGiI4D
3,Между городами,https://www.avito.ru/saratov/predlozheniya_uslug/gruzoperevozki/mezhdu_gorodami-ASgBAgICAkSYC76IjgPc5RPIiI4D
3,Международные,https://www.avito.ru/saratov/predlozheniya_uslug/gruzoperevozki/mezhdunarodnye-ASgBAgICAkSYC76IjgPc5RPKiI4D
3,Трансфер,https://www.avito.ru/saratov/predlozheniya_uslug/passazhirskie_perevozki/transfer-ASgBAgICAkSYC8CIjgPe5RPMiI4D
3,Авто под заказ,https://www.avito.ru/saratov/predlozheniya_uslug/passazhirskie_perevozki/avto_pod_zakaz-ASgBAgICAkSYC8CIjgPe5RPOiI4D
